section,observed_10k_seconds,assumed_model,estimate_20k_seconds,quadratic_sensitivity_seconds
imports,2.640432119369507,constant,2.640432119369507,2.640432119369507
settings,13.343091249465942,constant,13.343091249465942,13.343091249465942
arguments,0.0015971660614013672,constant,0.0015971660614013672,0.0015971660614013672
read_data,3.6381752490997314,linear in input cells,6.182641259409858,10.506655211844436
filter,0.41933417320251465,linear in input cells,0.7126079925270026,1.2109915753708937
normalize_log,0.4536478519439697,linear in input cells,0.7709199625184293,1.3100857549807616
highly_variable_genes,1.3884224891662598,linear in input cells,2.3594570297667765,4.009613441697301
scale,0.18696284294128418,linear in input cells,0.31772086488450024,0.5399283964389502
report_placeholder,4.0531158447265625e-06,constant,4.0531158447265625e-06,4.0531158447265625e-06
pca,1.0925235748291016,linear in input cells,1.85661241367848,3.1550894955875264
neighbors,33.03539752960205,linear in input cells,56.139684815365875,95.40264222171106
paga_placeholder,3.814697265625e-06,constant,3.814697265625e-06,3.814697265625e-06
louvain,0.7945718765258789,linear in input cells,1.3502793381355747,2.294637332204222
umap,14.371333837509155,linear in input cells,24.422353364787416,41.50285217909323
write_h5ad,0.7254140377044678,linear in input cells,1.232753908920839,2.094917000460258
rank_genes_groups,14.236247301101685,linear in input cells,24.19279004350698,41.11273692498425
