Wed Sep 16 02:05:40 2026    C:\Users\sunze\OneDrive\Desktop\bmi500\results\pbmc10k-1289774\rank_genes_groups.prof

         324396 function calls (318839 primitive calls) in 14.228 seconds

   Ordered by: cumulative time
   List reduced from 1057 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.001    0.001   14.228   14.228 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/legacy_api_wrap/__init__.py:83(fn_compatible)
        1    0.001    0.001   13.850   13.850 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:469(rank_genes_groups)
        1    0.014    0.014   13.813   13.813 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:398(compute_statistics)
       25    0.098    0.004    8.930    0.357 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:45(_ranks)
       17    0.016    0.001    8.797    0.517 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:277(wilcoxon)
       24    0.000    0.000    8.312    0.346 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:10012(rank)
       24    0.001    0.000    8.311    0.346 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:10127(ranker)
       24    8.304    0.346    8.306    0.346 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/algorithms.py:1067(rank)
        1    0.019    0.019    3.063    3.063 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:174(_basic_stats)
       56    0.001    0.000    2.725    0.049 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_index.py:29(__getitem__)
       32    0.000    0.000    2.660    0.083 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_csc.py:140(_get_arrayXslice)
       32    0.001    0.000    2.660    0.083 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_compressed.py:651(_minor_index_fancy)
       32    2.235    0.070    2.235    0.070 {built-in method scipy.sparse._sparsetools.csr_column_index2}
  856/855    0.005    0.000    1.190    0.001 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py:1177(__getitem__)
      853    0.004    0.000    1.148    0.001 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py:1720(_getitem_axis)
      469    0.003    0.000    1.148    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py:1690(_getitem_tuple)
      384    0.003    0.000    1.114    0.003 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py:1005(_getitem_tuple_same_dim)
      391    0.001    0.000    1.110    0.003 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py:1206(_getbool_axis)
      391    0.002    0.000    1.093    0.003 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:4164(_take_with_is_copy)
      391    0.004    0.000    1.085    0.003 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:4049(take)
      391    0.002    0.000    1.069    0.003 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:888(take)
      392    0.005    0.000    1.041    0.003 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:642(reindex_indexer)
      467    0.004    0.000    1.027    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1353(take_nd)
  482/481    0.002    0.000    1.019    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py:59(take_nd)
      481    1.009    0.002    1.017    0.002 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
       24    0.010    0.000    0.513    0.021 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:70(<lambda>)
      384    0.002    0.000    0.494    0.001 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py:11688(sum)
      384    0.001    0.000    0.490    0.001 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:12563(sum)
      384    0.004    0.000    0.489    0.001 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py:12524(_min_count_stat_function)
      384    0.032    0.000    0.484    0.001 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py:11462(_reduce)
       24    0.000    0.000    0.443    0.018 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/tools/_rank_genes_groups.py:56(<lambda>)
       24    0.000    0.000    0.443    0.018 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_compressed.py:1002(toarray)
       24    0.438    0.018    0.438    0.018 {built-in method scipy.sparse._sparsetools.csr_todense}
       32    0.412    0.013    0.412    0.013 {built-in method scipy.sparse._sparsetools.csr_column_index1}
      384    0.003    0.000    0.407    0.001 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:1502(reduce)
       32    0.001    0.000    0.381    0.012 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/preprocessing/_utils.py:33(_get_mean_var)
       32    0.379    0.012    0.380    0.012 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/preprocessing/_utils.py:47(sparse_mean_variance_axis)
      384    0.002    0.000    0.357    0.001 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:400(reduce)
      384    0.002    0.000    0.350    0.001 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py:11485(blk_func)
      384    0.003    0.000    0.348    0.001 /home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py:76(_f)


